Asal Sekolah,Psikotest,TPA,IPS,Status
25,97,44.2,1.84,Ya
1,103,48.2,1.77,Ya
1,109,53,1.72,Ya
1,115,49.6,1.89,Ya
68,97,44.25,1.78,Ya
66,98,54,1.78,Ya
21,97,51.4,1.83,Ya
51,105,47.2,1.89,Ya
38,98,50.6,1.89,Ya
51,106,66.6,1.78,Ya
67,111,56.2,1.78,Ya
1,107,69,1.83,Ya
3,100,64,1.89,Ya
52,106,39.4,1.94,Ya
7,109,52,1.78,Ya
7,101,47.8,1.83,Ya
25,114,48.8,1.83,Ya
51,103,65.2,1.94,Ya
67,104,61,1.94,Ya
1,110,48.2,1.72,Ya
3,113,65.4,1.84,Ya
52,113,56.4,1.44,Ya
7,109,52,1.94,Ya
1,97,61,1.94,Ya
3,105,48.2,1.72,Ya
52,105,65.4,1.89,Ya
7,116,65.4,1.5,Ya
1,105,36.75,1.94,Ya
6,105,45.25,1.61,Ya
27,106,31,1.72,Ya
7,107,45,1.88,Ya
69,110,53.5,1.39,Ya
70,109,45.25,1.83,Ya
51,90,35.75,1.89,Ya
63,119,53.75,1.39,Ya
52,124,54,1.89,Ya
71,101,47,1.94,Ya
2,101,61.25,1.88,Ya
72,101,45.75,1.72,Ya
73,107,45,1.44,Ya
74,110,54.25,1.89,Ya
75,103,34.75,1.39,Ya
76,101,35.5,1.83,Ya
77,109,43,1.89,Ya
78,101,38.25,1.5,Ya
37,110,49.75,1.89,Ya
1,101,41,1.67,Ya
19,110,32.25,1.94,Ya
40,104,43.5,1.56,Ya
79,97,41.75,1.67,Ya
53,90,53.75,1.39,Ya
5,107,46.25,1.83,Ya
58,109,49.38,1.89,Ya
80,115,38.25,1.39,Ya
3,103,35.75,1.83,Ya
81,115,37,1.89,Ya
42,109,39.5,1.5,Ya
82,97,40.5,1.89,Ya
40,104,43.5,1.89,Ya
83,97,41.75,1.39,Ya
1,101,41,1.67,Ya
19,110,32.25,1.94,Ya
84,103,36.75,2.35,Tidak
40,127,55.75,3.22,Tidak
76,97,37,2.97,Tidak
3,106,41.75,3.4,Tidak
1,100,40.75,3.15,Tidak
3,110,42,2.68,Tidak
6,96,43.5,2.97,Tidak
38,109,36.5,2.43,Tidak
84,121,46.75,2.85,Tidak
3,97,52.75,3.14,Tidak
35,100,40.75,3.4,Tidak
3,110,48.75,3.33,Tidak
1,103,35.25,2.07,Tidak
85,97,37,3.36,Tidak
51,98,38,2.81,Tidak
86,101,56.5,3.61,Tidak
33,97,38.75,2,Tidak
63,106,42,3.37,Tidak
3,96,36,2.36,Tidak
36,101,31.75,2.67,Tidak
2,105,56,3.37,Tidak
4,103,41.25,2.81,Tidak
62,105,49,3.01,Tidak
63,103,35,2.31,Tidak
2,105,42.5,3.15,Tidak
87,95,43,2.59,Tidak
6,97,31.25,2.19,Tidak
2,115,43.25,2.85,Tidak
3,101,46.25,2.82,Tidak
62,97,43,3.25,Tidak
7,93,40.75,2.22,Tidak
1,109,28.25,3.03,Tidak
1,100,27.25,2.19,Tidak
88,110,37.5,3.06,Tidak
38,101,24.25,2.17,Tidak
89,113,30.75,2,Tidak
90,105,30.75,1.81,Ya
51,109,29,2.69,Tidak
35,101,42.25,3.03,Tidak
76,101,33.25,2.51,Tidak
2,109,37.75,2.39,Tidak
1,109,44.25,2.97,Tidak
38,103,49,3.19,Tidak
38,103,46.25,2.33,Tidak
19,104,38.5,2.39,Tidak
27,105,40.75,3.28,Tidak
35,121,51,3.47,Tidak
84,101,40.5,3.08,Tidak
1,100,36.75,2.81,Tidak
91,112,40,3,Tidak
35,115,52,3.03,Tidak
92,98,39.75,2.28,Tidak
66,100,34.25,1.81,Ya
3,91,50.6,3.2,Tidak
3,90,55,3.18,Tidak
1,105,40.25,2.917,Tidak
1,110,49.75,3.526,Tidak
1,98,43.25,2.554,Tidak
52,97,38,3.3,Tidak
36,110,58.5,2.637,Tidak
36,97,44.5,2.73,Tidak
51,95,41,2.329,Tidak
35,86,44.25,2.677,Tidak
28,91,39.25,2.566,Tidak
82,96,43.25,2.303,Tidak
2,103,43.25,3.471,Tidak
35,90,49,2.23,Tidak
42,99,44.25,3.556,Tidak
1,107,45.75,2.716,Tidak
35,90,69,1.844,Ya
93,91,63.5,2.38,Tidak
51,98,53,2.582,Tidak
94,110,60.25,2.117,Tidak
59,100,52,2.89,Tidak
1,84,41.25,2.637,Tidak
22,103,67.40,3.111,Tidak
64,85,65.8,1.767,Ya
64,110,62.8,3.123,Tidak
95,107,69.4,3.26,Tidak
5,97,63.8,3.127,Tidak
95,115,71,3.567,Tidak
96,106,65.2,2.629,Tidak
95,109,61.6,2.911,Tidak
71,110,62.6,2.769,Tidak
97,101,60,2.406,Tidak
52,103,60.6,2.811,Tidak
98,121,58.4,2.635,Tidak
99,103,57.5,2.368,Tidak
3,106,31.25,2.81,Tidak
42,92,51,2.768,Tidak
100,106,54.8,2.218,Tidak
101,109,51.2,2.937,Tidak
38,103,53.6,3.108,Tidak
6,90,51.2,2.598,Tidak
1,98,51.8,2.594,Tidak
1,110,54.8,2.485,Tidak
2,116,65.6,3.516,Tidak
38,90,50.2,3.016,Tidak
1,90,51.8,2.477,Tidak
22,100,66.4,1.681,Ya
61,95,50.2,2.52,Tidak
4,106,62.6,2.42,Tidak
26,109,61,3.161,Tidak
2,100,53,2.595,Tidak
62,112,56.2,3.124,Tidak
